image_key,size_category,difficulty,file_size_kb
all_test_images/000000000139.jpg,small,hard,158.02
all_test_images/000000000285.jpg,small,easy,327.99
all_test_images/000000000632.jpg,small,medium,152.02
all_test_images/000000000724.jpg,small,medium,127.06
all_test_images/000000000776.jpg,small,easy,172.28
all_test_images/000000000785.jpg,small,easy,130.54
all_test_images/000000000802.jpg,small,easy,60.94
all_test_images/000000000872.jpg,small,easy,310.22
all_test_images/000000000885.jpg,small,hard,108.83
all_test_images/000000001000.jpg,small,hard,313.61
all_test_images/000000001268.jpg,small,hard,176.51
all_test_images/000000001296.jpg,small,easy,200.03
all_test_images/000000001353.jpg,small,hard,81.09
all_test_images/000000001425.jpg,small,easy,108.7
all_test_images/000000001490.jpg,small,easy,98.73
all_test_images/000000001503.jpg,small,easy,14.9
all_test_images/000000001532.jpg,small,hard,169.94
all_test_images/000000001584.jpg,small,hard,134.96
all_test_images/000000001675.jpg,small,easy,95.35
all_test_images/000000001761.jpg,small,hard,113.12
all_test_images/000000001818.jpg,small,easy,198.36
all_test_images/000000001993.jpg,small,medium,107.86
all_test_images/000000002006.jpg,small,hard,197.84
all_test_images/000000002149.jpg,small,easy,51.47
all_test_images/000000002153.jpg,small,medium,132.85
all_test_images/000000002157.jpg,small,easy,121.79
all_test_images/000000002261.jpg,small,easy,193.18
all_test_images/000000002299.jpg,small,hard,101.14
all_test_images/000000002431.jpg,small,medium,137.82
all_test_images/000000002473.jpg,small,hard,93.54
all_test_images/000000002532.jpg,small,easy,205.45
all_test_images/000000002587.jpg,small,easy,111.14
all_test_images/000000002592.jpg,small,easy,100.6
all_test_images/000000002685.jpg,small,hard,266.26
all_test_images/000000002923.jpg,small,hard,97.44
all_test_images/000000003156.jpg,small,easy,124.21
all_test_images/000000003255.jpg,small,hard,155.38
all_test_images/000000003501.jpg,small,easy,147.18
all_test_images/000000003553.jpg,small,easy,144.57
all_test_images/000000003661.jpg,small,easy,100.21
all_test_images/000000003845.jpg,small,easy,159.76
all_test_images/000000003934.jpg,small,hard,134.96
all_test_images/000000004134.jpg,small,hard,156.36
all_test_images/000000004395.jpg,small,easy,75.43
all_test_images/000000004495.jpg,small,easy,104.13
all_test_images/000000004765.jpg,small,easy,136.41
all_test_images/000000004795.jpg,small,easy,161.95
all_test_images/000000005001.jpg,small,hard,206.74
all_test_images/000000005037.jpg,small,hard,177.88
all_test_images/000000005060.jpg,small,easy,153.64
all_test_images/000000005193.jpg,small,medium,100.31
all_test_images/000000005477.jpg,small,easy,151.34
all_test_images/000000005503.jpg,small,easy,57.24
all_test_images/000000005529.jpg,small,easy,219.53
all_test_images/000000005586.jpg,small,hard,35.51
all_test_images/000000005600.jpg,small,easy,131.41
all_test_images/000000005992.jpg,small,medium,176.5
all_test_images/000000006012.jpg,small,easy,162.24
all_test_images/000000006040.jpg,small,hard,157.32
all_test_images/000000006213.jpg,small,easy,122.99
all_test_images/000000006460.jpg,small,medium,117.1
all_test_images/000000006471.jpg,small,hard,93.86
all_test_images/000000006614.jpg,small,easy,84.78
all_test_images/000000006723.jpg,small,hard,195.76
all_test_images/000000006763.jpg,small,medium,108.43
all_test_images/000000006771.jpg,small,hard,135.08
all_test_images/000000006818.jpg,small,easy,75.72
all_test_images/000000006894.jpg,small,easy,116.66
all_test_images/000000006954.jpg,small,medium,260.35
all_test_images/000000007088.jpg,small,medium,256.85
all_test_images/000000007108.jpg,small,easy,157.99
all_test_images/000000007278.jpg,small,easy,285.07
all_test_images/000000007281.jpg,small,hard,134.19
all_test_images/000000007386.jpg,small,hard,207.01
all_test_images/000000007511.jpg,small,hard,132.52
all_test_images/000000007574.jpg,small,medium,160.14
all_test_images/000000007784.jpg,small,easy,64.08
all_test_images/000000007795.jpg,small,easy,150.0
all_test_images/000000007816.jpg,small,hard,167.69
all_test_images/000000007818.jpg,small,medium,106.19
all_test_images/000000007888.jpg,small,easy,129.28
all_test_images/000000007977.jpg,small,hard,201.89
all_test_images/000000007991.jpg,small,easy,189.81
all_test_images/000000008021.jpg,small,hard,175.87
all_test_images/000000008211.jpg,small,hard,262.08
all_test_images/000000008277.jpg,small,easy,202.03
all_test_images/000000008532.jpg,small,easy,107.24
all_test_images/000000008629.jpg,small,easy,225.68
all_test_images/000000008690.jpg,small,medium,240.74
all_test_images/000000008762.jpg,small,medium,47.77
all_test_images/000000008844.jpg,small,medium,109.21
all_test_images/000000008899.jpg,small,medium,278.0
all_test_images/000000009378.jpg,small,hard,114.92
all_test_images/000000009400.jpg,small,hard,102.54
all_test_images/000000009448.jpg,small,easy,331.49
all_test_images/000000009483.jpg,small,easy,114.03
all_test_images/000000009590.jpg,small,hard,152.27
all_test_images/000000009769.jpg,small,hard,319.68
all_test_images/000000009772.jpg,small,medium,239.83
all_test_images/000000009891.jpg,small,hard,128.71
all_test_images/000000009914.jpg,small,easy,158.74
all_test_images/000000010092.jpg,small,medium,146.89
